Carimbo,ID do lead,Nome,WhatsApp,E-mail,Cenário (Etapa 1),A1,A2,B1,B2,C1,C2,D1,D2,D3,D4,E1,E2,E3,E4,E5,"=ARRAYFORMULA(IF(ROW(A:A)=1;""Bloco A"";IF(B:B="""";"""";ROUND((G:G+H:H)/2;2))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""Bloco B"";IF(B:B="""";"""";ROUND((I:I+J:J)/2;2))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""Bloco C"";IF(B:B="""";"""";ROUND((K:K+L:L)/2;2))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""Bloco D"";IF(B:B="""";"""";ROUND((M:M+N:N+O:O+P:P)/4;2))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""Bloco E"";IF(B:B="""";"""";ROUND((Q:Q+R:R+S:S+T:T+U:U)/5;2))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""TD"";IF(B:B="""";"""";ROUND((V:V+W:W+X:X+Y:Y+Z:Z)/5;2))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""Bloco dominante"";IF(B:B="""";"""";IF(V:V>=W:W;IF(V:V>=X:X;IF(V:V>=Y:Y;IF(V:V>=Z:Z;""A"";""E"");IF(Y:Y>=Z:Z;""D"";""E""));IF(X:X>=Y:Y;IF(X:X>=Z:Z;""C"";""E"");IF(Y:Y>=Z:Z;""D"";""E"")));IF(W:W>=X:X;IF(W:W>=Y:Y;IF(W:W>=Z:Z;""B"";""E"");IF(Y:Y>=Z:Z;""D"";""E""));IF(X:X>=Y:Y;IF(X:X>=Z:Z;""C"";""E"");IF(Y:Y>=Z:Z;""D"";""E"")))))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""Onde está o gargalo"";IF(B:B="""";"""";IF(AB:AB=""A"";""Exigência e Responsabilização"";IF(AB:AB=""B"";""Autonomia da Equipe e Execução"";IF(AB:AB=""C"";""Reuniões e Prazos"";IF(AB:AB=""D"";""Delegação e Maturidade do Time"";IF(AB:AB=""E"";""Cultura, Alinhamento e Retenção"";""—""))))))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""Lead Hot"";IF(B:B="""";"""";IF((AA:AA>8)+(V:V=10)+(W:W=10)+(Y:Y=10)>0;""SIM"";""não""))))","=ARRAYFORMULA(IF(ROW(A:A)=1;""Abrir a call por"";IF(F:F="""";"""";IF(F:F=""O Adiador"";""Bloco A (Exigência) e E4 (medo de ser impopular)"";IF(F:F=""O Gargalo"";""Bloco B (Autonomia e o que fazemos agora?)"";IF(F:F=""Time que não Assume"";""Bloco D (Delegação) e A2 (culpabilização externa)"";IF(F:F=""Plano que não Vira Execução"";""Bloco C (Reuniões e Prazos) e D2 (confiança na meta)"";""—"")))))))",,PAINEL — atualiza sozinho,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloco A,"=COUNTIF(AB:AB;""A"")","=IF(COUNT(AA:AA)=0;""—"";ROUND(100*COUNTIF(AB:AB;""A"")/COUNT(AA:AA);1)&""%"")",Exigência e Responsabilização
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloco B,"=COUNTIF(AB:AB;""B"")","=IF(COUNT(AA:AA)=0;""—"";ROUND(100*COUNTIF(AB:AB;""B"")/COUNT(AA:AA);1)&""%"")",Autonomia da Equipe e Execução
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloco C,"=COUNTIF(AB:AB;""C"")","=IF(COUNT(AA:AA)=0;""—"";ROUND(100*COUNTIF(AB:AB;""C"")/COUNT(AA:AA);1)&""%"")",Reuniões e Prazos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloco D,"=COUNTIF(AB:AB;""D"")","=IF(COUNT(AA:AA)=0;""—"";ROUND(100*COUNTIF(AB:AB;""D"")/COUNT(AA:AA);1)&""%"")",Delegação e Maturidade do Time
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bloco E,"=COUNTIF(AB:AB;""E"")","=IF(COUNT(AA:AA)=0;""—"";ROUND(100*COUNTIF(AB:AB;""E"")/COUNT(AA:AA);1)&""%"")","Cultura, Alinhamento e Retenção"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faixa de TD,Leads,,O que significa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Até 4,0","=COUNTIFS(AA:AA;"">=0"";AA:AA;""<=4"")",,Gestão sob controle. Venda difícil.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"De 4,0 a 6,0","=COUNTIFS(AA:AA;"">4"";AA:AA;""<=6"")",,"Incômodo real, sem urgência."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"De 6,0 a 8,0","=COUNTIFS(AA:AA;"">6"";AA:AA;""<=8"")",,Dor clara. É o miolo do funil.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Acima de 8,0","=COUNTIF(AA:AA;"">8"")",,Colapso operacional. Prioridade máxima.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cenário da Etapa 1,Leads,TD médio,Blocos correspondentes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O Adiador,"=COUNTIF(F:F;""O Adiador"")","=IFERROR(ROUND(AVERAGEIF(F:F;""O Adiador"";AA:AA);2);""—"")",Bloco A (Exigência) e E4 (medo de ser impopular)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O Gargalo,"=COUNTIF(F:F;""O Gargalo"")","=IFERROR(ROUND(AVERAGEIF(F:F;""O Gargalo"";AA:AA);2);""—"")",Bloco B (Autonomia e o que fazemos agora?)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time que não Assume,"=COUNTIF(F:F;""Time que não Assume"")","=IFERROR(ROUND(AVERAGEIF(F:F;""Time que não Assume"";AA:AA);2);""—"")",Bloco D (Delegação) e A2 (culpabilização externa)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano que não Vira Execução,"=COUNTIF(F:F;""Plano que não Vira Execução"")","=IFERROR(ROUND(AVERAGEIF(F:F;""Plano que não Vira Execução"";AA:AA);2);""—"")",Bloco C (Reuniões e Prazos) e D2 (confiança na meta)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMO LER,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATENÇÃO: a escala é invertida. NOTA ALTA = PROBLEMA GRAVE.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sempre = 0 · Geralmente = 4 · Às vezes = 8 · Nunca = 10.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,As perguntas são positivas e a pontuação é invertida de propósito: ler nota alta como bom desempenho inverte o sentido da conversa inteira.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TD = média dos cinco blocos. Bloco dominante = o de maior nota, e é por ele que a call abre, mesmo com TD médio: TD 5 com bloco A em 10 vende mais que TD 6 distribuído por igual.",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lead Hot = TD acima de 8,0 OU nota 10 nos blocos A, B ou D.",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARA QUEM FOR LIGAR O FORMULÁRIO AQUI,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O formulário escreve só as colunas A a U: identificação e as 15 notas.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,As colunas V a AE são fórmula na linha 1 e valem para a planilha toda. Não digite por cima e não apague a linha 1.,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As 15 notas precisam chegar como número (0, 4, 8 ou 10). Texto quebra o cálculo.",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O Cenário (Etapa 1) precisa vir escrito igual a um dos quatro, senão a última coluna fica vazia.",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As 15 perguntas, a ordem dos blocos e a escala são da Grokker. Não altere sem autorização.",,,
